City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
285,Santa Rosa De Viterbo,BR,-21.4728,-47.3631,66.67,67,58,3.33,broken clouds
286,Abu Dhabi,AE,24.4667,54.3667,91.42,70,0,5.95,clear sky
287,Moron,AR,-34.6534,-58.6198,53.35,62,1,1.99,clear sky
288,Manaure,CO,11.7751,-72.4445,80.82,78,100,14.67,overcast clouds
289,Atar,MR,20.5169,-13.0499,86.58,16,100,12.35,overcast clouds
290,Garowe,SO,8.4054,48.4845,77.85,63,37,18.48,scattered clouds
291,Umm Lajj,SA,25.0213,37.2685,80.78,63,1,6.87,clear sky
292,Hattiesburg,US,31.3271,-89.2903,72.54,92,90,4.61,overcast clouds
293,Kawalu,ID,-7.3817,108.2082,87.57,53,23,3.83,few clouds
294,Tuatapere,NZ,-46.1333,167.6833,49.82,80,55,0.67,broken clouds
295,Guerrero Negro,MX,27.9769,-114.0611,63.21,84,99,13.73,overcast clouds
296,Charyshskoye,RU,51.3978,83.5598,56.34,59,11,4.99,few clouds
297,Hirara,JP,24.8,125.2833,88.07,79,75,25.32,broken clouds
298,Cholet,FR,47.1667,-1.0,52.84,90,14,5.39,few clouds
299,Kutum,SD,14.2,24.6667,72.95,21,8,6.53,clear sky
300,La Ronge,CA,55.1001,-105.2842,62.85,55,90,5.75,overcast clouds
301,Lakes Entrance,AU,-37.8811,147.981,65.17,54,81,2.84,broken clouds
302,Patan,NP,27.6667,85.3333,79.18,65,20,3.44,few clouds
303,Constitucion,CL,-35.3333,-72.4167,49.68,63,100,5.37,overcast clouds
304,Sur,OM,22.5667,59.5289,91.24,53,29,4.27,scattered clouds
305,Pacifica,US,37.6138,-122.4869,67.14,80,40,4.0,haze
306,Sao Felix Do Xingu,BR,-6.6447,-51.995,75.22,74,56,2.08,broken clouds
307,La Romana,DO,18.4273,-68.9728,78.53,81,29,9.13,scattered clouds
308,Rudnichnyy,RU,59.617,52.4703,65.98,52,8,6.67,clear sky
309,Dubbo,AU,-32.25,148.6167,62.73,45,0,9.22,clear sky
310,Hami,CN,42.8,93.45,80.91,21,85,13.06,overcast clouds
311,Tura,IN,25.5198,90.2201,82.99,76,24,4.7,few clouds
312,San Luis,AR,-33.295,-66.3356,49.68,58,57,9.53,broken clouds
313,Yeppoon,AU,-23.1333,150.7333,74.98,51,10,7.99,clear sky
314,Oyama,JP,36.3,139.8,73.29,77,100,5.64,light rain
315,Mufulira,ZM,-12.5498,28.2407,55.0,69,99,7.47,overcast clouds
316,Morondava,MG,-20.2833,44.2833,66.29,84,5,7.31,clear sky
317,Sembakung,ID,3.8167,117.25,85.93,52,67,1.36,light rain
318,Muros,ES,42.7762,-9.0603,59.85,85,13,9.75,few clouds
319,Bartica,GY,6.4,-58.6167,75.52,99,90,2.19,overcast clouds
320,Mpulungu,ZM,-8.7623,31.1141,67.53,73,50,10.2,scattered clouds
321,Mandal,IN,25.45,74.5667,91.65,37,3,11.23,clear sky
322,Huangpu,CN,25.4433,113.1747,85.08,50,9,2.13,clear sky
323,Atasu,KZ,48.6814,71.6433,63.86,30,98,14.14,overcast clouds
324,Gat,IL,31.61,34.7642,68.68,66,0,2.37,clear sky
325,Yago,MX,21.8333,-105.0667,78.4,73,6,1.34,clear sky
326,Trairi,BR,-3.2778,-39.2689,76.46,86,1,7.87,clear sky
327,Ballina,AU,-28.8667,153.5667,69.98,55,0,11.5,clear sky
328,Nabire,ID,-3.3667,135.4833,87.35,64,54,6.6,broken clouds
329,Quatre Cocos,MU,-20.2078,57.7625,75.09,79,41,1.81,scattered clouds
